id,codigo,habilidade,campo_experiencia,unidade_tematica,componente_curricular_id,serie_ids
245,EF03LP18,"Ler e compreender, com autonomia, cartas dirigidas a veículos da mídia impressa ou digital (cartas de leitor e de reclamação a jornais, revistas) e notícias, dentre outros gêneros do campo jornalístico, de acordo com as convenções do gênero carta e considerando a situação comunicativa e o tema/assunto do texto.",,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,{16}
550,EF12EF02,"Explicar, por meio de múltiplas linguagens (corporal, visual, oral e escrita), as brincadeiras e os jogos populares do contexto comunitário e regional, reconhecendo e valorizando a importância desses jogos e brincadeiras para suas culturas de origem.",,Brincadeiras e jogos                                                                                                                                                                           ,11,"{14,15}"
582,EF67EF07,Propor e produzir alternativas para experimentação dos esportes não disponíveis e/ou acessíveis na comunidade e das demais práticas corporais tematizadas na escola.,,Esportes                                                                                                                                                                                       ,11,"{19,20}"
553,EF12EF05,"Experimentar e fruir, prezando pelo trabalho coletivo e pelo protagonismo, a prática de esportes de marca e de precisão, identificando os elementos comuns a esses esportes.",,Esportes                                                                                                                                                                                       ,11,"{14,15}"
558,EF12EF10,"Descrever, por meio de múltiplas linguagens (corporal, oral, escrita e audiovisual), as características dos elementos básicos da ginástica e da ginástica geral, identificando a presença desses elementos em distintas práticas corporais.",,Ginásticas                                                                                                                                                                                     ,11,"{14,15}"
559,EF12EF11,"Experimentar e fruir diferentes danças do contexto comunitário e regional (rodas cantadas, brincadeiras rítmicas e expressivas), e recriá-las, respeitando as diferenças individuais e de desempenho corporal.",,Danças                                                                                                                                                                                         ,11,"{14,15}"
598,EF89EF02,"Praticar um ou mais esportes de rede/parede, campo e taco, invasão e combate oferecidos pela escola, usando habilidades técnico-táticas básicas.",,Esportes                                                                                                                                                                                       ,11,"{21,41}"
114,EF12LP01,"Ler palavras novas com precisão na decodificação, no caso de palavras de uso frequente, ler globalmente, por memorização.",,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,"{14,15}"
115,EF12LP02,"Buscar, selecionar e ler, com a mediação do professor (leitura compartilhada), textos que circulam em meios impressos ou digitais, de acordo com as necessidades e interesses.",,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,"{14,15}"
295,EF03LP27,"Recitar cordel e cantar repentes e emboladas, observando as rimas e obedecendo ao ritmo e à melodia.",,Oralidade                                                                                                                                                                                      ,6,{16}
129,EF02LP05,"Ler e escrever corretamente palavras com marcas de nasalidade (til, m, n).",,Análise linguística/semiótica (Alfabetização)                                                                                                                                                  ,6,{15}
1217,EF03HI12,"Comparar as relações de trabalho e lazer do presente com as de outros tempos e espaços, analisando mudanças e permanências.",,A noção de espaço público e privado                                                                                                                                                            ,12,{16}
505,EF15AR18,"Reconhecer e apreciar formas distintas de manifestações do teatro presentes em diferentes contextos, aprendendo a ver e a ouvir histórias dramatizadas e cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório ficcional.",,Teatro                                                                                                                                                                                         ,10,"{14,15,16,17,18}"
96,EF15LP03,Localizar informações explícitas em textos.,,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,"{14,15,16,17,18}"
185,EF12LP19,"Reconhecer, em textos versificados, rimas, sonoridades, jogos de palavras, palavras, expressões, comparações, relacionando-as com sensações e associações",,Análise linguística/semiótica (Alfabetização)                                                                                                                                                  ,6,"{14,15}"
165,EF12LP13,"Planejar, em colaboração com os colegas e com a ajuda do professor, slogans e peça de campanha de conscientização destinada ao público infantil que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",,Oralidade                                                                                                                                                                                      ,6,"{14,15}"
973,EF03CI07,"Identificar características da Terra (como seu formato esférico, a presença de água, solo etc.), com base na observação, manipulação e comparação de diferentes formas de representação do planeta (mapas, globos, fotografias etc.).",,Terra e Universo                                                                                                                                                                               ,5,{16}
975,EF03CI09,"Comparar diferentes amostras de solo do entorno da escola com base em características como cor, textura, cheiro, tamanho das partículas, permeabilidade etc.",,Terra e Universo                                                                                                                                                                               ,5,{16}
976,EF03CI10,"Identificar os diferentes usos do solo (plantação e extração de materiais, dentre outras possibilidades), reconhecendo a importância do solo para a agricultura e para a vida.",,Terra e Universo                                                                                                                                                                               ,5,{16}
601,EF89EF05,"Identificar as transformações históricas do fenômeno esportivo e discutir alguns de seus problemas (doping, corrupção, violência etc.) e a forma como as mídias os apresentam.",,Esportes                                                                                                                                                                                       ,11,"{21,41}"
1352,EF03ER02,Caracterizar os espaços e territórios religiosos como locais de realização das práticas celebrativas.,,Identidades e alteridades                                                                                                                                                                      ,26,{16}
1053,EF09CI07,"Discutir o papel do avanço tecnológico na aplicação das radiações na medicina diagnóstica (raio X, ultrassom, ressonância nuclear magnética) e no tratamento de doenças (radioterapia, cirurgia ótica a laser, infravermelho, ultravioleta etc.).",,Matéria e energia                                                                                                                                                                              ,5,{41}
1054,EF09CI08,"Associar os gametas à transmissão das características hereditárias, estabelecendo relações entre ancestrais e descendentes.",,Vida e evolução                                                                                                                                                                                ,5,{41}
1055,EF09CI09,"Discutir as ideias de Mendel sobre hereditariedade (fatores hereditários, segregação, gametas, fecundação), considerando-as para resolver problemas envolvendo a transmissão de características hereditárias em diferentes organismos.",,Vida e evolução                                                                                                                                                                                ,5,{41}
561,EF35EF01,"Experimentar e fruir brincadeiras e jogos populares do Brasil e do mundo, incluindo aqueles de matriz indígena e africana, e recriá-los, valorizando a importância desse patrimônio histórico cultural.",,Brincadeiras e jogos                                                                                                                                                                           ,11,"{16,17,18}"
131,EF02LP06,Perceber o princípio acrofônico que opera nos nomes das letras do alfabeto.,,Análise linguística/semiótica (Alfabetização)                                                                                                                                                  ,6,{15}
1056,EF09CI10,"Comparar as ideias evolucionistas de Lamarck e Darwin apresentadas em textos científicos e históricos, identificando semelhanças e diferenças entre essas ideias e sua importância para explicar a diversidade biológica.",,Vida e evolução                                                                                                                                                                                ,5,{41}
1057,EF09CI11,"Discutir a evolução e a diversidade das espécies com base na atuação da seleção natural sobre as variantes de uma mesma espécie, resultantes de processo reprodutivo.",,Vida e evolução                                                                                                                                                                                ,5,{41}
1058,EF09CI12,"Justificar a importância das unidades de conservação para a preservação da biodiversidade e do patrimônio nacional, considerando os diferentes tipos de unidades (parques, reservas e florestas nacionais), as populações humanas e as atividades a eles relacionados.",,Vida e evolução                                                                                                                                                                                ,5,{41}
562,EF35EF02,Planejar e utilizar estratégias para possibilitar a participação segura de todos os alunos em brincadeiras e jogos populares do Brasil e de matriz indígena e africana.,,Brincadeiras e jogos                                                                                                                                                                           ,11,"{16,17,18}"
563,EF35EF03,"Descrever, por meio de múltiplas linguagens (corporal, oral, escrita, audiovisual), as brincadeiras e os jogos populares do Brasil e de matriz indígena e africana, explicando suas características e a importância desse patrimônio histórico cultural na preservação das diferentes culturas.",,Brincadeiras e jogos                                                                                                                                                                           ,11,"{16,17,18}"
564,EF35EF04,"Recriar, individual e coletivamente, e experimentar, na escola e fora dela, brincadeiras e jogos populares do Brasil e do mundo, incluindo aqueles de matriz indígena e africana, e demais práticas corporais tematizadas na escola, adequando-as aos espaços públicos disponíveis.",,Brincadeiras e jogos                                                                                                                                                                           ,11,"{16,17,18}"
1179,EF09GE11,Relacionar as mudanças técnicas e científicas decorrentes do processo de industrialização com as transformações no trabalho em diferentes regiões do mundo e suas consequências no Brasil.,,Mundo do trabalho                                                                                                                                                                              ,13,{41}
1181,EF09GE13,Analisar a importância da produção agropecuária na sociedade urbano-industrial ante o problema da desigualdade mundial de acesso aos recursos alimentares e à matéria-prima.,,Mundo do trabalho                                                                                                                                                                              ,13,{41}
579,EF67EF04,"Praticar um ou mais esportes de marca, precisão, invasão e técnico-combinatórios oferecidos pela escola, usando habilidades técnico-táticas básicas e respeitando regras.",,Esportes                                                                                                                                                                                       ,11,"{19,20}"
565,EF35EF05,"Experimentar e fruir diversos tipos de esportes de campo e taco, rede/parede e invasão, identificando seus elementos comuns e criando estratégias individuais e coletivas básicas para sua execução, prezando pelo trabalho coletivo e pelo protagonismo.",,Esportes                                                                                                                                                                                       ,11,"{16,17,18}"
566,EF35EF06,"Diferenciar os conceitos de jogo e esporte, identificando as características que os constituem na contemporaneidade e suas manifestações (profissional e comunitária/lazer).",,Esportes                                                                                                                                                                                       ,11,"{16,17,18}"
567,EF35EF07,"Experimentar e fruir, de forma coletiva, combinações de diferentes elementos da ginástica geral (equilíbrios, saltos, giros, rotações, acrobacias, com e sem materiais), propondo coreografias com diferentes temas do cotidiano.",,Ginásticas                                                                                                                                                                                     ,11,"{16,17,18}"
568,EF35EF08,"Planejar e utilizar estratégias para resolver desafios na execução de elementos básicos de apresentações coletivas de ginástica geral, reconhecendo as potencialidades e os limites do corpo e adotando procedimentos de segurança.",,Ginásticas                                                                                                                                                                                     ,11,"{16,17,18}"
569,EF35EF09,"Experimentar, recriar e fruir danças populares do Brasil e do mundo e danças de matriz indígena e africana, valorizando e respeitando os diferentes sentidos e significados dessas danças em suas culturas de origem.",,Danças                                                                                                                                                                                         ,11,"{16,17,18}"
1308,EF09HI07,"Identificar e explicar, em meio a lógicas de inclusão e exclusão, as pautas dos povos indígenas, no contexto republicano (até 1964), e das populações afrodescendentes.",,O nascimento da República no Brasil e os processos históricos até a metade do século XX                                                                                                        ,12,{41}
231,EF04LP10,"Ler e compreender, com autonomia, cartas pessoais de reclamação, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções do gênero carta e considerando a situação comunicativa e o tema/assunto/finalidade do texto.",,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,{17}
234,EF04LP11,"Planejar e produzir, com autonomia, cartas pessoais de reclamação, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções do gênero carta e com a estrutura própria desses textos (problema, opinião, argumentos), considerando a situação comunicativa e o tema/assunto/finalidade do texto.",,Produção de textos (escrita compartilhada e autônoma)                                                                                                                                          ,6,{17}
239,EF04LP12,"Assistir, em vídeo digital, a programa infantil com instruções de montagem, de jogos e brincadeiras e, a partir dele, planejar e produzir tutoriais em áudio ou vídeo.",,Oralidade                                                                                                                                                                                      ,6,{17}
246,EF04LP14,"Identificar, em notícias, fatos, participantes, local e momento/tempo da ocorrência do fato noticiado.",,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,{17}
571,EF35EF11,"Formular e utilizar estratégias para a execução de elementos constitutivos das danças populares do Brasil e do mundo, e das danças de matriz indígena e africana.",,Danças                                                                                                                                                                                         ,11,"{16,17,18}"
572,EF35EF12,Identificar situações de injustiça e preconceito geradas e/ou presentes no contexto das danças e demais práticas corporais e discutir alternativas para superá-las.,,Danças                                                                                                                                                                                         ,11,"{16,17,18}"
1076,EF02GE02,"Comparar costumes e tradições de diferentes populações inseridas no bairro ou comunidade em que vive, reconhecendo a importância do respeito às diferenças.",,O sujeito e seu lugar no mundo                                                                                                                                                                 ,13,{15}
1077,EF02GE03,"Comparar diferentes meios de transporte e de comunicação, indicando o seu papel na conexão entre lugares, e discutir os riscos para a vida e para o ambiente e seu uso responsável.",,O sujeito e seu lugar no mundo                                                                                                                                                                 ,13,{15}
252,EF04LP16,"Produzir notícias sobre fatos ocorridos no universo escolar, digitais ou impressas, para o jornal da escola, noticiando os fatos e seus atores e comentando decorrências, de acordo com as convenções do gênero notícia e considerando a situação comunicativa e o tema/assunto do texto.",,Produção de textos (escrita compartilhada e autônoma)                                                                                                                                          ,6,{17}
257,EF04LP17,"Produzir jornais radiofônicos ou televisivos e entrevistas veiculadas em rádio, TV e na internet, orientando-se por roteiro ou texto e demonstrando conhecimento dos gêneros jornal falado/televisivo e entrevista.",,Oralidade                                                                                                                                                                                      ,6,{17}
263,EF04LP18,Analisar o padrão entonacional e a expressão facial e corporal de âncoras de jornais radiofônicos ou televisivos e de entrevistadores/entrevistados.,,Análise linguística/semiótica (Ortografização)                                                                                                                                                 ,6,{17}
266,EF04LP19,"Ler e compreender textos expositivos de divulgação científica para crianças, considerando a situação comunicativa e o tema/assunto do texto.",,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,{17}
280,EF35LP19,"Recuperar as ideias principais em situações formais de escuta de exposições, apresentações e palestras.",,Oralidade                                                                                                                                                                                      ,6,"{16,17,18}"
272,EF04LP21,"Planejar e produzir textos sobre temas de interesse, com base em resultados de observações e pesquisas em fontes de informações impressas ou eletrônicas, incluindo, quando pertinente, imagens e gráficos ou tabelas simples, considerando a situação comunicativa e o tema/assunto do texto.",,Produção de textos (escrita compartilhada e autônoma)                                                                                                                                          ,6,{17}
574,EF35EF14,"Planejar e utilizar estratégias básicas das lutas do contexto comunitário e regional e lutas de matriz indígena e africana experimentadas, respeitando o colega como oponente e as normas de segurança.",,Lutas                                                                                                                                                                                          ,11,"{16,17,18}"
575,EF35EF15,"Identificar as características das lutas do contexto comunitário e regional e lutas de matriz indígena e africana, reconhecendo as diferenças entre lutas e brigas e entre lutas e as demais práticas corporais.",,Lutas                                                                                                                                                                                          ,11,"{16,17,18}"
1323,EF09HI22,Discutir o papel da mobilização da sociedade brasileira do final do período ditatorial até a Constituição de 1988.,,"Modernização, ditadura civil-militar e redemocratização: o Brasil após 1946                                                                                                                    ",12,{41}
1324,EF09HI23,"Identificar direitos civis, políticos e sociais expressos na Constituição de 1988 e relacioná-los à noção de cidadania e ao pacto da sociedade brasileira de combate a diversas formas de preconceito, como o racismo.",,"Modernização, ditadura civil-militar e redemocratização: o Brasil após 1946                                                                                                                    ",12,{41}
275,EF04LP21,"Planejar e produzir textos sobre temas de interesse, com base em resultados de observações e pesquisas em fontes de informações impressas ou eletrônicas, incluindo, quando pertinente, imagens e gráficos ou tabelas simples, considerando a situação comunicativa e o tema/assunto do texto.",,Produção de textos (escrita compartilhada e autônoma)                                                                                                                                          ,6,{17}
277,EF04LP22,"Planejar e produzir, com certa autonomia, verbetes de enciclopédia infantil, digitais ou impressos, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",,Produção de textos (escrita compartilhada e autônoma)                                                                                                                                          ,6,{17}
286,EF04LP24,"Identificar e reproduzir, em seu formato, tabelas, diagramas e gráficos em relatórios de observação e pesquisa, como forma de apresentação de dados e informações.",,Análise linguística/semiótica (Ortografização)                                                                                                                                                 ,6,{17}
406,EF07LP07,"Identificar, em textos lidos ou de produção própria, a estrutura básica da oração: sujeito, predicado, complemento (objetos direto e indireto).",,Análise linguística/semiótica                                                                                                                                                                  ,6,{20}
303,EF69LP01,"Diferenciar liberdade de expressão de discursos de ódio, posicionando-se contrariamente a esse tipo de discurso e vislumbrando possibilidades de denúncia quando for o caso.",,Leitura                                                                                                                                                                                        ,6,"{19,20,21,41}"
611,EF89EF15,"Analisar as características (ritmos, gestos, coreografias e músicas) das danças de salão, bem como suas transformações históricas e os grupos de origem.",,Danças                                                                                                                                                                                         ,11,"{21,41}"
617,EF89EF21,"Identificar as características (equipamentos de segurança, instrumentos, indumentária, organização) das práticas corporais de aventura na natureza, bem como suas transformações históricas.",,Práticas corporais de aventura                                                                                                                                                                 ,11,"{21,41}"
578,EF67EF03,"Experimentar e fruir esportes de marca, precisão, invasão e técnico-combinatórios, valorizando o trabalho coletivo e o protagonismo.",,Esportes                                                                                                                                                                                       ,11,"{19,20}"
586,EF67EF11,"Experimentar, fruir e recriar danças urbanas, identificando seus elementos constitutivos (ritmo, espaço, gestos).",,Danças                                                                                                                                                                                         ,11,"{19,20}"
580,EF67EF05,"Planejar e utilizar estratégias para solucionar os desafios técnicos e táticos, tanto nos esportes de marca, precisão, invasão e técnico-combinatórios como nas modalidades esportivas escolhidas para praticar de forma específica.",,Esportes                                                                                                                                                                                       ,11,"{19,20}"
581,EF67EF06,Analisar as transformações na organização e na prática dos esportes em suas diferentes manifestações (profissional e comunitário/lazer).,,Esportes                                                                                                                                                                                       ,11,"{19,20}"
583,EF67EF08,"Experimentar e fruir exercícios físicos que solicitem diferentes capacidades físicas, identificando seus tipos (força, velocidade, resistência, flexibilidade) e as sensações corporais provocadas pela sua prática.",,Ginásticas                                                                                                                                                                                     ,11,"{19,20}"
584,EF67EF09,"Construir, coletivamente, procedimentos e normas de convívio que viabilizem a participação de todos na prática de exercícios físicos, com o objetivo de promover a saúde.",,Ginásticas                                                                                                                                                                                     ,11,"{19,20}"
585,EF67EF10,Diferenciar exercício físico de atividade física e propor alternativas para a prática de exercícios físicos dentro e fora do ambiente escolar.,,Ginásticas                                                                                                                                                                                     ,11,"{19,20}"
587,EF67EF12,Planejar e utilizar estratégias para aprender elementos constitutivos das danças urbanas.,,Danças                                                                                                                                                                                         ,11,"{19,20}"
646,EF07LI03,Mobilizar conhecimentos prévios para compreender texto oral.,,Compreensão oral                                                                                                                                                                               ,7,{20}
1328,EF09HI27,"Relacionar aspectos das mudanças econômicas, culturais e sociais ocorridas no Brasil a partir da década de 1990 ao papel do País no cenário internacional na era da globalização.",,"Modernização, ditadura civil-militar e redemocratização: o Brasil após 1946                                                                                                                    ",12,{41}
304,EF69LP02,"Analisar e comparar peças publicitárias variadas (cartazes, folhetos, outdoor, anúncios e propagandas em diferentes mídias, spots, jingle, vídeos etc.), de forma a perceber a articulação entre elas em campanhas, as especificidades das várias semioses e mídias, a adequação dessas peças ao público-alvo, aos objetivos do anunciante e/ou da campanha e à construção composicional e estilo dos gêneros em questão, como forma de ampliar suas possibilidades de compreensão (e produção) de textos pertencentes a esses gêneros.",,Leitura                                                                                                                                                                                        ,6,"{19,20,21,41}"
301,EF05LP28,"Observar, em ciberpoemas e minicontos infantis em mídia digital, os recursos multissemióticos presentes nesses textos digitais.",,Análise linguística/semiótica (Ortografização)                                                                                                                                                 ,6,{18}
612,EF89EF16,"Experimentar e fruir a execução dos movimentos pertencentes às lutas do mundo, adotando procedimentos de segurança e respeitando o oponente.",,Lutas                                                                                                                                                                                          ,11,"{21,41}"
613,EF89EF17,"Planejar e utilizar estratégias básicas das lutas experimentadas, reconhecendo as suas características técnico-táticas.",,Lutas                                                                                                                                                                                          ,11,"{21,41}"
614,EF89EF18,"Discutir as transformações históricas, o processo de esportivização e a midiatização de uma ou mais lutas, valorizando e respeitando as culturas de origem.",,Lutas                                                                                                                                                                                          ,11,"{21,41}"
588,EF67EF13,"Diferenciar as danças urbanas das demais manifestações da dança, valorizando e respeitando os sentidos e significados atribuídos a eles por diferentes grupos sociais.",,Danças                                                                                                                                                                                         ,11,"{19,20}"
589,EF67EF14,"Experimentar, fruir e recriar diferentes lutas do Brasil, valorizando a própria segurança e integridade física, bem como as dos demais.",,Lutas                                                                                                                                                                                          ,11,"{19,20}"
590,EF67EF15," Planejar e utilizar estratégias básicas das lutas do Brasil, respeitando o colega como oponente.",,Lutas                                                                                                                                                                                          ,11,"{19,20}"
591,EF67EF16,"Identificar as características (códigos, rituais, elementos técnico-táticos, indumentária, materiais, instalações, instituições) das lutas do Brasil.",,Lutas                                                                                                                                                                                          ,11,"{19,20}"
592,EF67EF17,"Problematizar preconceitos e estereótipos relacionados ao universo das lutas e demais práticas corporais, propondo alternativas para superá-los, com base na solidariedade, na justiça, na equidade e no respeito.",,Lutas                                                                                                                                                                                          ,11,"{19,20}"
1336,EF09HI35,"Analisar os aspectos relacionados ao fenômeno do terrorismo na contemporaneidade, incluindo os movimentos migratórios e os choques entre diferentes grupos e culturas.",,A história recente                                                                                                                                                                             ,12,{41}
1337,EF09HI36,"Identificar e discutir as diversidades identitárias e seus significados históricos no início do século XXI, combatendo qualquer forma de preconceito e violência.",,A história recente                                                                                                                                                                             ,12,{41}
382,EF67LP20,"Realizar pesquisa, a partir de recortes e questões definidos previamente, usando fontes indicadas e abertas.",,Leitura                                                                                                                                                                                        ,6,"{19,20}"
360,EF07LP01,"Distinguir diferentes propostas editoriais – sensacionalismo, jornalismo investigativo etc. –, de forma a identificar os recursos utilizados para impactar/chocar o leitor que podem comprometer uma análise crítica da notícia e do fato noticiado.",,Leitura                                                                                                                                                                                        ,6,{20}
362,EF07LP02,"Comparar notícias e reportagens sobre um mesmo fato divulgadas em diferentes mídias, analisando as especificidades das mídias, os processos de (re)elaboração dos textos e a convergência das mídias em notícias ou reportagens multissemióticas.",,Leitura                                                                                                                                                                                        ,6,{20}
593,EF67EF18,"Experimentar e fruir diferentes práticas corporais de aventura urbanas, valorizando a própria segurança e integridade física, bem como as dos demais.",,Práticas corporais de aventura                                                                                                                                                                 ,11,"{19,20}"
595,EF67EF20," Executar práticas corporais de aventura urbanas, respeitando o patrimônio público e utilizando alternativas para a prática segura em diversos espaços.",,Práticas corporais de aventura                                                                                                                                                                 ,11,"{19,20}"
596,EF67EF21,"Identificar a origem das práticas corporais de aventura e as possibilidades de recriá-las, reconhecendo as características (instrumentos, equipamentos de segurança, indumentária, organização) e seus tipos de práticas.",,Práticas corporais de aventura                                                                                                                                                                 ,11,"{19,20}"
